siteID,X,Y,amRivDist,asRivDist,confDist,kopDist,binTerm,mpAvgTerm10,nearTerm,TM50,TM100,TM300,TMgt300,lriskDry,lriskWet,mpAvgTree10,asAvgTree10,nearTree,T25,T50,T100,T150,T200,T250,habitat,woodland
D13,699352,9709030,404.681221,404.6812876,1748.667021,6425.051756,1,1358,80,0,1,0,0,0.000808176,0.00056236,379.3,275.8,154,0,0,0,0,3,0,GRASSLAND,GRASSLAND
E01,701742,9735940,587.8946048,587.8946048,857.5174101,2221.373499,0,1500,1500,0,0,0,0,0.000499325,0.000261669,10.8,18.3,2,15,17,33,8,1,8,WOODLAND,MODERATE
E02,701683,9733771,120.7003165,120.700285,387.3432022,2589.259294,0,1500,1500,0,0,0,0,0.010204125,0.00191962,5.6,12.4,2,34,24,45,8,1,0,WOODLAND,MODERATE
E03,701778,9731512,1217.529493,542.0615165,1013.963008,2040.385977,1,1354.3,43,1,0,0,0,0.009640291,0.005059027,14,30.1,4,14,58,103,51,0,500,WOODLAND,DENSE
E04,701709,9729245,1453.674526,1453.674526,1673.090811,421.7089403,1,1074.5,19,1,1,1,0,0.00286714,0.003543702,7.4,17.8,4,16,44,27,98,22,0,WOODLAND,DENSE
E05,701611,9727281,889.7103308,889.7103308,893.8980346,2191.854157,1,1227.5,16,1,0,1,0,0.006486407,0.00482804,70,64.8,12,3,1,2,14,46,20,WOODLAND,SPARSE
E06,701572,9724921,670.2231438,100,476.6726783,2511.051376,1,1351.2,12,1,0,0,0,0.00992021,0.008546254,265.8,449.6,95,0,0,1,0,0,3,GRASSLAND,GRASSLAND
E07,701468,9722414,2800.374312,1069.588483,1710.159509,2317.651328,1,1216.7,51,0,1,1,0,0.001570815,0.002105187,800,1500,800,0,0,0,0,0,0,GRASSLAND,GRASSLAND
E08,701756,9720271,4581.118859,1329.980609,3338.435846,4006.213955,0,1500,1500,0,0,0,0,0.001650988,0.001488486,619.9,1356.6,129,0,0,0,2,0,0,GRASSLAND,GRASSLAND
E09,701387,9718055,6800.007721,2003.615498,5197.470645,5821.462806,0,1500,1500,0,0,0,0,0.001380267,0.001242108,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
E10,701721,9716019,5292.198099,3354.601012,4103.18226,7860.636562,1,1370.7,207,0,0,1,0,0.000766927,0.000760356,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
E11,701950,9713636,2922.017542,1284.9375,1712.241501,10218.65193,0,1500,1500,0,0,0,0,0.000806507,0.000817136,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
E12,701630,9711358,714.6737127,640.8266201,823.6120301,9015.024518,0,1500,1500,0,0,0,0,0.001216706,0.000962833,717.7,637.1,36,0,1,0,1,2,0,WOODLAND,SPARSE
E13,701081,9709356,569.6187904,569.6187904,906.1422753,6939.990098,0,1500,1500,0,0,0,0,0.001124174,0.00079537,429.8,304.3,73,0,0,4,0,0,3,GRASSLAND,GRASSLAND
F01,704126,9736104,124.8850523,124.8850362,89.71603951,4432.428236,0,1500,1500,0,0,0,0,0.000104532,0.000151988,5.9,11.4,3,63,45,500,500,500,500,WOODLAND,DENSE
F02,704082,9733751,1770.03208,1441.418372,2035.970104,2960.227288,1,786.4,48,2,2,1,0,0.000704729,0.001930929,9.8,16.6,3,27,30,113,54,500,500,WOODLAND,MODERATE
F03,703989,9731585,2892.755218,480.4075013,1290.036575,2132.842332,0,1500,1500,0,0,0,0,0.008066427,0.006166931,11.3,21.2,3,14,22,35,11,1,0,WOODLAND,MODERATE
F04,703969,9729264,3568.635279,894.350666,864.956059,932.7160043,0,1500,1500,0,0,0,0,0.003185011,0.004679272,5.5,19.1,1,500,500,500,500,500,500,WOODLAND,DENSE
F05,703733,9727175,1950.014753,1950.014851,2342.21127,2267.655946,0,1500,1500,0,0,0,0,0.001295677,0.003431382,487,301.1,74,0,0,2,1,0,2,GRASSLAND,GRASSLAND
F06,703996,9724910,193.6803201,193.6802961,1443.194431,4280.768203,0,1500,1500,0,0,0,0,0.010298013,0.010588536,72.4,120.1,19,2,1,4,6,4,47,WOODLAND,SPARSE
F07,703175,9721622,2947.02043,50.80122185,3570.494267,4196.580971,0,1500,1500,0,0,0,0,0.001358028,0.002115958,51.2,183.1,2,2,2,7,4,3,2,WOODLAND,SPARSE
F08,703689,9720350,3698.220616,171.1942533,4239.463101,5311.787682,0,1500,1500,0,0,0,0,0.001409932,0.001508477,166.6,311.3,154,0,0,0,0,12,6,GRASSLAND,GRASSLAND
F09,703954,9718339,5135.03394,190.0165371,5118.046327,6550.111592,0,1500,1500,0,0,0,0,0.001260167,0.001057996,92.8,144.3,18,1,1,2,21,16,4,WOODLAND,SPARSE
F10,703200,9716426,5269.201532,2099.389905,4576.945619,8047.044562,1,750,300,0,0,1,6,0.000910248,0.000860559,1377.1,1272.5,271,0,0,0,0,0,0,GRASSLAND,GRASSLAND
